ID,name,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound,R2,R2_lower_bound,R2_upper_bound,m,m_lower_bound,m_upper_bound,kendall_tau,kendall_tau_lower_bound,kendall_tau_upper_bound,unmatched exp pKas,"unmatched pred pKas [2,12]",dominant microstate accuracy,dominant_microstate_accuracy_lower_bound,dominant_microstate_accuracy_upper_bound
nb016,MoKa,0.5158349680718769,0.2526714410907124,0.7099999999999996,0.4285714285714287,0.2285714285714288,0.65,-0.09142857142857164,-0.4485714285714285,0.3014285714285713,0.9216489355113436,0.049377804027535104,0.9938092372443316,0.9906728534600324,0.14073553525415802,1.1589844987986535,0.6190476190476191,-0.14285714285714288,1.0,0,3,1.0,1.0,1.0
hdiyq,S+pKa,0.6800147057233394,0.4893771551676681,0.8349970059826559,0.598,0.3930000000000001,0.7959999999999998,0.382,0.02100000000000004,0.7049999999999998,0.8590670774417718,0.4708889668440247,0.9849581052957714,0.9089242145454228,0.4451842429083622,1.2568921067810492,0.7777777777777777,0.4,1.0,0,16,1.0,1.0,1.0
nb011,Jaguar,0.7212627815158634,0.3546124645299428,1.073424426776287,0.5379999999999998,0.2829999999999998,0.8649999999999999,0.454,0.1360000000000003,0.825,0.8625638082442618,0.1778839668694847,0.9788625481857168,0.9301980740190706,0.5011894997294275,1.2078240111947982,0.6444444444444444,0.2631578947368421,0.9499999999999998,0,36,1.0,1.0,1.0
6tvf8,OE Gaussian Process,0.7633740891594369,0.5518604896167146,0.9487834315585412,0.6799999999999999,0.4639999999999997,0.8970000000000002,-0.628,-0.8870000000000001,-0.34700000000000003,0.9151074229215492,0.7806382456006669,0.9892546662748328,0.9404664580210048,0.6904433466877631,1.408528887450914,0.8666666666666666,0.6,1.0,0,55,1.0,1.0,1.0
0xi4b,"EC-RISM/B3LYP/6-311+G(d,p)-P3NI-phi-noThiols-2par",1.145010916978524,0.7526486564128048,1.5041043846754785,0.9790000000000001,0.6320000000000003,1.3570000000000002,-0.2990000000000002,-0.9399999999999998,0.4430000000000001,0.7660768275733717,0.022807554508162808,0.9796971621917469,1.2621523525351264,0.09120105871340442,2.097008682608821,0.5111111111111111,-0.13513513513513514,1.0,0,33,1.0,1.0,1.0
cywyk,"EC-RISM/B3LYP/6-311+G(d,p)-P2-phi-noThiols-2par",1.1706323077721714,0.8784930278607792,1.4119985835686948,1.058,0.736,1.3530000000000002,-0.4739999999999999,-1.0870000000000002,0.2370000000000001,0.7284001321310021,0.020627830195763183,0.9798541642240196,1.1543175064677278,-0.041613845560271916,1.9950996728065928,0.5555555555555555,-0.08108108108108109,1.0,0,36,1.0,1.0,1.0
