,MAE,MAE_lower_CI,MAE_upper_CI,Molecule ID,RMSE,RMSE_lower_CI,RMSE_upper_CI
17,0.6170731707317072,0.4856097560975609,0.7591463414634146,SM18,0.8889333152854552,0.7043739652534222,1.0658719092035722
0,0.7245714285714286,0.5108571428571428,0.9925714285714287,SM01,1.0197646787372074,0.6541603123743556,1.4227086841655254
10,0.7865714285714286,0.5371428571428573,1.0582857142857145,SM11,1.110061774342826,0.7877762553996082,1.3959359379488527
7,0.8734285714285714,0.6248571428571428,1.1348571428571428,SM08,1.1656966035073497,0.8739990192867986,1.4262107638274026
3,0.9834285714285713,0.8125714285714283,1.152285714285714,SM04,1.1094065337570609,0.9354571075148232,1.277628383261066
12,1.0051428571428571,0.7600000000000001,1.270285714285714,SM13,1.2600181404589834,0.9929120231492243,1.514275875978822
23,1.0057142857142856,0.7594285714285713,1.2534285714285713,SM24,1.2516526218221595,0.9972963451251587,1.4770356413148211
1,1.0139999999999998,0.8765714285714286,1.149142857142857,SM02,1.0955246623030839,0.965644122556841,1.2206169400289815
14,1.019861111111111,0.8472222222222222,1.2011111111111112,SM15,1.277514405224284,1.0877250724945773,1.460686672615163
15,1.0384126984126982,0.8480952380952382,1.2461904761904763,SM16,1.31399065010807,1.0429521591852648,1.5712051789265826
11,1.0540000000000003,0.8497142857142856,1.2600000000000002,SM12,1.2239479447380806,1.0241386624866773,1.404569074739397
8,1.0554285714285714,0.8642857142857141,1.2668571428571427,SM09,1.2123601539382358,0.9723344515722384,1.4682798487637547
22,1.1197142857142857,0.7971428571428573,1.475714285714286,SM23,1.5089835746526297,1.0979396288373184,1.8899425539266683
16,1.19,0.9154285714285714,1.480857142857143,SM17,1.4625818658405807,1.1629678781953892,1.7403012875443642
6,1.5097142857142858,1.1157142857142857,1.9351428571428577,SM07,1.9647566188789318,1.49031923713392,2.384697644805911
4,1.5851428571428572,1.237714285714286,1.9462857142857148,SM05,1.8994721071166816,1.5527238738975546,2.2111722811990155
21,1.6138571428571429,1.1811428571428575,2.0984285714285713,SM22,2.5361875212328333,1.8508939924881087,3.1460537639579975
5,1.6707692307692308,1.4073846153846155,1.9426153846153849,SM06,1.9919499530321074,1.6978221343827509,2.269835642982515
19,1.690810810810811,1.4383783783783783,1.9345945945945942,SM20,1.8602077768284306,1.6213782925546918,2.0816248850746772
20,1.9951428571428567,1.4588571428571424,2.5639999999999996,SM21,2.6038932389788947,2.0239395812551884,3.1523832254343693
18,2.228571428571429,1.6465714285714284,2.886571428571428,SM19,2.9163352736904975,2.1361467311827753,3.6602470642606315
9,2.2357142857142853,1.6045714285714285,2.9299999999999997,SM10,2.9764461071169133,2.1786194842475033,3.733950416688164
2,2.390285714285714,1.788571428571429,3.0194285714285716,SM03,3.0207974349262723,2.412627494780624,3.5841261138525806
13,2.7245454545454546,1.733181818181818,3.880151515151515,SM14,5.262559004203874,3.323177559341223,6.91806692653374
